"","plDate","N","P","K","WLY","CurrentY","TargetY","TC","NR","NPK17_17_17","DAP","MOP","Urea","FCY","plw","harvMonth","STATE","DISTRICT","respY","groRev","plm","rateNPK171717","rateDAP"
"7682",295,6.72638291311657,0,9.27695600491494,13.1427272727273,12.5108181818182,13.0441194436614,16871.2121212121,23122.7272727273,0,0,15.4393939393939,14.6363636363636,"level2",43,8,"Amajyaruguru","Gakenke",0.533301261843242,39993.9393939394,"October",0,0
"7683",295,69.4317288369282,9.50449382625192,53.7530089856742,29.1894074074074,14.7715925925926,26.7731318506494,160224.691358025,739891.358024691,28.2592592592593,35.8148148148148,82.4938271604938,126.543209876543,"level2",43,8,"Amajyaruguru","Gicumbi",12.0015392580568,900116.049382716,"October",28.2592592592593,35.8148148148148
"7684",295,27.9820356149514,0.393972390482325,34.5616377423552,17.6504705882353,13.5644705882353,17.5733550607754,67521.568627451,233139.215686275,1.27450980392157,1.45098039215686,57.3137254901961,59.7843137254902,"level2",43,8,"Amajyaruguru","Musanze",4.00888447254008,300660.784313725,"October",1.27450980392157,1.45098039215686
"7685",295,33.7091860367518,3.81894642791349,29.1895993811968,19.30015,12.62805,18.3635990662428,78688.3333333333,351476.666666667,11.9,14.1833333333333,45.7,63.35,"level2",43,8,"Amajyaruguru","Rulindo",5.73554906624284,430165,"October",11.9,14.1833333333333
"7711",295,62.9670219976408,4.9934370944294,59.4853145918618,25.454625,14.7899625,24.9027991525335,145955,612505,16.025,18.325,95.1375,123.825,"level2",43,9,"Amajyaruguru","Burera",10.1128366525335,758460,"October",16.025,18.325
"7712",295,42.1710482323331,-1.91765795162527e-17,49.0231064735756,20.3694886363636,14.6354659090909,20.3584817493046,97326.1363636364,331884.090909091,0,0,81.75,91.6818181818182,"level2",43,9,"Amajyaruguru","Gakenke",5.72301584021374,429210.227272727,"October",0,0
"7713",295,83.4734036732257,19.1657755237769,41.4584868289377,47.1876388888889,14.8394444444444,30.9638505593751,190919.444444444,1018410.18518519,53.8796296296296,73.4907407407407,55.6388888888889,132.87037037037,"level2",43,9,"Amajyaruguru","Gicumbi",16.1244061149307,1209329.62962963,"October",53.8796296296296,73.4907407407407
"7714",295,60.2545651311617,4.97184176313255,57.324347722024,26.0349705882353,15.0023823529412,24.7778220222256,140507.352941176,592644.117647059,15.9558823529412,18.2058823529412,91.5441176470588,117.955882352941,"level2",43,9,"Amajyaruguru","Musanze",9.77543966928441,733151.470588235,"October",15.9558823529412,18.2058823529412
"7715",295,57.4211742274404,9.28708812404416,40.5330190809044,31.5804,14.26035,24.1676470253232,133090,609956.25,29.7375,34.1375,60.1875,100.525,"level2",43,9,"Amajyaruguru","Rulindo",9.90729702532315,743046.25,"October",29.7375,34.1375
"7741",295,84.103070986154,17.0675798160138,47.8956009833981,43.356975,14.8698,30.7882872120785,192340,1001547.5,48.725,65.15,67.65,139.3875,"level2",43,10,"Amajyaruguru","Burera",15.9184872120785,1193887.5,"October",48.725,65.15
